"exp","id","condition1","isold","rating","excluding"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_8","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_9","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_10","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_11","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_12","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_13","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,6,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,4,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,3,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,2,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_14","Partial",0,1,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,6,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,5,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,4,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,3,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,2,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_15","Partial",1,1,"Include"
"AP2007_e3","AP2007_e3_15","Partial",0,5,"Include"
"AP2007_e3","AP2007_e3_15","Partial",0,5,"Include"
