"exp","id","condition1","isold","rating","excluding"
"AP2007_e2","AP2007_e2_1","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_1","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",1,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_2","Congruent",0,1,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",1,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,6,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,5,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,4,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,3,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_3","Congruent",0,2,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,6,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,5,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,4,"Include"
"AP2007_e2","AP2007_e2_4","Congruent",1,2,"Include"
